municipality_name,Party_1_Count,Party_2_Count,Party_3_Count,Party_4_Count,Party_5_Count,Party_6_Count,Party_1,Party_2,Party_3,Party_4,Party_5,Party_6,Total,Party_1_Percentage,Party_2_Percentage,Party_3_Percentage,Party_4_Percentage,Party_5_Percentage,Party_6_Percentage
ALBANY,303,823,1,8,176,0,DEM,REP,GR,LIB,OTH,,1311,23.11,62.78,0.08,0.61,13.42,0.0
ALSACE,905,1415,1,13,408,0,DEM,REP,GR,LIB,OTH,,2742,33.01,51.6,0.04,0.47,14.88,0.0
AMITY,3390,4655,12,56,1575,0,DEM,REP,GR,LIB,OTH,,9688,34.99,48.05,0.12,0.58,16.26,0.0
BALLY,289,418,1,6,150,0,DEM,REP,GR,LIB,OTH,,864,33.45,48.38,0.12,0.69,17.36,0.0
BECHTELSVILLE,175,314,0,3,89,0,DEM,REP,GR,LIB,OTH,,581,30.12,54.04,0.0,0.52,15.32,0.0
BERN,1392,2194,11,21,604,0,DEM,REP,GR,LIB,OTH,,4222,32.97,51.97,0.26,0.5,14.31,0.0
BERNVILLE,199,301,0,5,91,0,DEM,REP,GR,LIB,OTH,,596,33.39,50.5,0.0,0.84,15.27,0.0
BETHEL,326,1516,3,16,259,0,DEM,REP,GR,LIB,OTH,,2120,15.38,71.51,0.14,0.75,12.22,0.0
BIRDSBORO,1218,1442,9,32,595,0,DEM,REP,GR,LIB,OTH,,3296,36.95,43.75,0.27,0.97,18.05,0.0
BOYERTOWN,898,1285,7,24,471,0,DEM,REP,GR,LIB,OTH,,2685,33.45,47.86,0.26,0.89,17.54,0.0
BRECKNOCK,933,1997,3,19,494,0,DEM,REP,GR,LIB,OTH,,3446,27.07,57.95,0.09,0.55,14.34,0.0
CAERNARVON,869,1728,3,20,498,0,DEM,REP,GR,LIB,OTH,,3118,27.87,55.42,0.1,0.64,15.97,0.0
CENTERPORT,67,139,0,4,31,0,DEM,REP,GR,LIB,OTH,,241,27.8,57.68,0.0,1.66,12.86,0.0
CENTRE,772,1825,4,27,423,0,DEM,REP,GR,LIB,OTH,,3051,25.3,59.82,0.13,0.88,13.86,0.0
COLEBROOKDALE,1101,1907,6,28,516,0,DEM,REP,GR,LIB,OTH,,3558,30.94,53.6,0.17,0.79,14.5,0.0
CUMRU,4531,5027,18,62,1776,0,DEM,REP,GR,LIB,OTH,,11414,39.7,44.04,0.16,0.54,15.56,0.0
DISTRICT,300,569,1,9,137,0,DEM,REP,GR,LIB,OTH,,1016,29.53,56.0,0.1,0.89,13.48,0.0
DOUGLASS,823,1590,0,18,405,0,DEM,REP,GR,LIB,OTH,,2836,29.02,56.06,0.0,0.63,14.28,0.0
EARL,632,1364,1,15,311,0,DEM,REP,GR,LIB,OTH,,2323,27.21,58.72,0.04,0.65,13.39,0.0
EXETER,7126,8183,21,110,2891,0,DEM,REP,GR,LIB,OTH,,18331,38.87,44.64,0.11,0.6,15.77,0.0
FLEETWOOD,987,1300,7,21,456,0,DEM,REP,GR,LIB,OTH,,2771,35.62,46.91,0.25,0.76,16.46,0.0
GREENWICH,706,1502,4,19,322,0,DEM,REP,GR,LIB,OTH,,2553,27.65,58.83,0.16,0.74,12.61,0.0
HAMBURG,980,1515,5,13,488,0,DEM,REP,GR,LIB,OTH,,3001,32.66,50.48,0.17,0.43,16.26,0.0
HEIDELBERG,304,696,1,6,127,0,DEM,REP,GR,LIB,OTH,,1134,26.81,61.38,0.09,0.53,11.2,0.0
HEREFORD,640,1100,5,9,344,0,DEM,REP,GR,LIB,OTH,,2098,30.51,52.43,0.24,0.43,16.4,0.0
JEFFERSON,417,906,1,13,224,0,DEM,REP,GR,LIB,OTH,,1561,26.71,58.04,0.06,0.83,14.35,0.0
KENHORST,867,691,5,13,357,0,DEM,REP,GR,LIB,OTH,,1933,44.85,35.75,0.26,0.67,18.47,0.0
KUTZTOWN,1321,1068,6,26,458,0,DEM,REP,GR,LIB,OTH,,2879,45.88,37.1,0.21,0.9,15.91,0.0
