municipality_name,precinct_code,candidate_office_code,ward,vote_total,candidate_party_rank,candidate_last_name,candidate_first_name
ATGLEN,10,CCJ,nan,214,1,WOLF,MATTHEW
ATGLEN,10,CPJ,nan,867,1,BLACK,DAVID
ATGLEN,10,SPM,nan,213,1,MCCAFFERY,DANIEL 
ATGLEN,10,SPR,nan,342,1,DUGAN,PATRICK
MODENA,760,CCJ,nan,35,1,WOLF,MATTHEW
MODENA,760,CPJ,nan,149,1,BLACK,DAVID
MODENA,760,SPM,nan,36,1,MCCAFFERY,DANIEL 
MODENA,760,SPR,nan,57,1,DUGAN,PATRICK
WEST SADSBURY,1780,CCJ,nan,323,1,WOLF,MATTHEW
WEST SADSBURY,1780,CPJ,nan,1424,1,BLACK,DAVID
WEST SADSBURY,1780,SPM,nan,321,1,MCCAFFERY,DANIEL 
WEST SADSBURY,1780,SPR,nan,531,1,DUGAN,PATRICK
