municipality_name,precinct_code,ward,registered_voters_party_1,registered_voters_party_2,registered_voters_party_3,registered_voters_party_4,registered_voters_party_5,total_registered,dem_pct,rep_pct,lib_pct,other_pct
ATGLEN,10,nan,325,439,1,7,143,915,35.52,47.98,0.77,15.63
COATESVILLE,90,1,1320,343,3,5,409,2080,63.46,16.49,0.24,19.66
COATESVILLE,100,2,1113,168,5,7,260,1553,71.67,10.82,0.45,16.74
COATESVILLE,110,3,807,129,3,3,160,1102,73.23,11.71,0.27,14.52
COATESVILLE,120,4,464,110,1,5,124,704,65.91,15.62,0.71,17.61
COATESVILLE,130,4,423,165,1,6,115,710,59.58,23.24,0.85,16.2
COATESVILLE,140,5,728,136,2,6,177,1049,69.4,12.96,0.57,16.87
MODENA,760,nan,126,59,0,0,36,221,57.01,26.7,0,16.29
SPRING CITY,1120,1,370,286,2,4,141,803,46.08,35.62,0.5,17.56
SPRING CITY,1130,2,154,110,1,2,64,331,46.53,33.23,0.6,19.34
SPRING CITY,1140,3,259,230,2,8,132,631,41.05,36.45,1.27,20.92
SPRING CITY,1150,4,285,238,0,3,130,656,43.45,36.28,0.46,19.82
THORNBURY,1160,1,417,631,0,3,241,1292,32.28,48.84,0.23,18.65
THORNBURY,1165,2,547,629,3,6,262,1447,37.8,43.47,0.41,18.11
WEST GROVE,1720,1,373,290,0,3,140,806,46.28,35.98,0.37,17.37
WEST GROVE,1730,2,278,208,0,6,129,621,44.77,33.49,0.97,20.77
WEST SADSBURY,1780,nan,337,888,0,12,187,1424,23.67,62.36,0.84,13.13
