Year,Column Count,Row Count,Election Type,Filename
2014,39,9196,General,general_VoterRegistration_2014_General_Precinct.parquet
2014,39,9237,Primary,primary_VoterRegistration_2014_Primary_Precinct.parquet
2022,39,9188,Primary,primary_VoterRegistration_2022_Primary_Precinct.parquet
2022,39,9188,General,general_VoterRegistration_2022_General_Precinct.parquet
2024,39,9187,General,general_vrstat2024_g(9187)_20241223.parquet
2023,39,9189,Primary,primary_VoterRegistration_2023_Primary_Precinct.parquet
2015,39,9186,Primary,primary_VoterRegistration_2015_Primary_Precinct.parquet
2012,39,9268,Primary,primary_VoterRegistration_2012_Primary_Precinct.parquet
2012,40,9268,General,general_VoterRegistration_2012_General_Precinct.parquet
1993,39,9441,Municipal,municipal_VoterRegistration_1993_Municipal_Precinct.parquet
1993,39,9442,Primary,primary_VoterRegistration_1993_Primary_Precinct.parquet
1995,39,9457,Municipal,municipal_VoterRegistration_1995_Municipal_Precinct.parquet
1995,39,9480,Primary,primary_VoterRegistration_1995_Primary_Precinct.parquet
2008,39,9272,Primary,primary_VoterRegistration_2008_Primary_Precinct.parquet
2008,39,9310,General,general_VoterRegistration_2008_General_Precinct.parquet
2001,40,9495,Municipal,municipal_VoterRegistration_2001_Municipal_PrecinctReturns.parquet
2001,39,9431,Primary,primary_VoterRegistration_2001_Primary_PrecinctRetuns.parquet
2006,39,9284,General,general_VoterRegistration_2006_General_Precinct.parquet
2006,39,9368,Primary,primary_VoterRegistration_2006_Primary_Precinct.parquet
2007,39,9269,Municipal,municipal_VoterRegistration_2007_Municipal_PrecinctReturns.parquet
2007,39,9266,Primary,primary_VoterRegistration_2007_Primary_PrecinctReturns.parquet
2000,39,9410,Primary,primary_VoterRegistration_2000_Primary_Precinct.parquet
2000,39,9411,General,general_VoterRegistration_2000_General_Precinct.parquet
2009,39,9300,Primary,primary_VoterRegistration_2009_Primary_Precinct.parquet
2017,39,9187,Municipal,municipal_VoterRegistration_2017_Municipal_Precinct.parquet
2017,39,9176,Primary,primary_VoterRegistration_2017_Primary_Precinct.parquet
2010,39,9243,General,general_VoterRegistration_2010_General_Precinct.parquet
2010,39,9240,Primary,primary_VoterRegistration_2010_Primary_Precinct.parquet
2019,39,9186,Primary,primary_VoterRegistration_2019_Primary_Precinct.parquet
2019,39,9186,General,general_VoterRegistration_2019_General_Precinct.parquet
2021,39,9188,Primary,primary_VoterRegistration_2021_Primary_Precinct.parquet
2021,39,9187,Municipal,municipal_VoterRegistration_2021_Municipal_Precinct.parquet
2020,39,9187,General,general_VoterRegistration_2020_General_Precinct.parquet
2020,39,9187,Primary,primary_VoterRegistration_2020_Primary_Precinct.parquet
2018,39,9186,General,general_VoterRegistration_2018_General_Precinct.parquet
2018,39,9193,Primary,primary_VoterRegistration_2018_Primary_Precinct.parquet
2011,39,9249,Primary,primary_VoterRegistration_2011_Primary_PrecinctReturns.parquet
2011,39,9249,Municipal,municipal_VoterRegistration_2011_Municipal_PrecinctReturns.parquet
2016,39,9179,Primary,primary_VoterRegistration_2016_Primary_Precinct.parquet
2016,39,9183,General,general_VoterRegistration_2016_General_Precinct.parquet
1997,39,9487,Primary,primary_VoterRegistration_1997_Primary_Precinct.parquet
1997,39,9488,Municipal,municipal_VoterRegistration_1997_Municipal_Precinct.parquet
1999,39,9396,Municipal,municipal_VoterRegistration_1999_Municipal_PrecinctReturns.parquet
1999,39,9396,Primary,primary_VoterRegistration_1999_Primary_PrecinctReturns.parquet
1998,39,9417,General,general_VoterRegistration_1998_General_Precinct.parquet
1998,39,9441,Primary,primary_VoterRegistration_1998_Primary_Precinct.parquet
1996,39,9474,Primary,primary_VoterRegistration_1996_Primary_Precinct.parquet
1996,39,9482,General,general_VoterRegistration_1996_General_Precinct.parquet
2002,39,9432,General,general_VoterRegistration_2002_General_Precinct.parquet
2002,39,9431,Primary,primary_VoterRegistration_2002_Primary_precinct.parquet
2003,40,9500,Primary,primary_VoterRegistration_2003_Primary_Precinct.parquet
2003,39,9425,Municipal,municipal_VoterRegistration_2003_Municipal_Precinct.parquet
2004,39,9426,Primary,primary_VoterRegistration_2004_Primary_Precinct.parquet
2004,39,9447,General,general_VoterRegistration_2004_General_precinct.parquet
