Year,Column Count,Row Count,Election Type,Filename
2014,33,119503,General,general_ElectionReturns_2014_General_PrecinctReturns.parquet
2022,37,131796,General,general_ElectionReturns_2022_General_PrecinctReturns.parquet
2022,37,353742,Primary,primary_ElectionReturns_2022_Primary_PrecinctReturns.parquet
2024,37,268768,General,general_erstat_2024_g_268768_20250129.parquet
2023,37,183728,Primary,primary_ElectionReturns_2023_Primary_PrecinctReturns.parquet
2015,35,310365,Municipal,municipal_ElectionReturns_2015_Municipal_Precinct.parquet
2015,33,312777,Primary,primary_ElectionReturns_2015_Primary_PrecinctReturns.parquet
2012,33,241470,Primary,primary_ElectionReturns_2012_Primary_PrecinctReturns.parquet
2012,33,205268,General,general_ElectionReturns_2012_General_PrecinctReturns.parquet
1993,33,236050,Primary,primary_ElectionReturns_1993_Primary_PrecinctReturns.parquet
1993,33,94710,Municipal,municipal_ElectionReturns_1993_Municipal_PrecinctReturns.parquet
1995,33,218017,Primary,primary_ElectionReturns_1995_Primary_PrecinctReturns.parquet
1995,33,104027,Municipal,municipal_ElectionReturns_1995_Municipal_PrecinctReturns.parquet
2008,33,226305,General,general_ElectionReturns_2008_General_PrecinctReturns.parquet
2008,33,305297,Primary,primary_ElectionReturns_2008_Primary_PrecinctReturns.parquet
2001,33,207372,Primary,primary_ElectionRetuns_2001_Primary_PrecinctReturns.parquet
2001,33,160242,Municipal,municipal_ElectionReturns_2001_Municipal_PrecinctReturns.parquet
2006,33,123341,General,general_ElectionReturns_2006_General_PrecinctReturns.parquet
2006,33,256548,Primary,primary_ElectionReturns_2006_Primary_PrecinctReturns.parquet
2007,33,194586,Primary,primary_ElectionReturns_2007_Primary_PrecinctReturns.parquet
2007,33,111228,Municipal,municipal_ElectionReturns_2007_Municipal_PrecinctReturns.parquet
2000,33,377649,General,general_ElectionReturns_2000_General_PrecinctRetuns.parquet
2000,33,387936,Primary,primary_ElectionReturns_2000_Primary_PrecinctReturns.parquet
2009,33,260288,Primary,primary_ElectionReturns_2009_Primary_PrecinctReturns.parquet
2017,37,240741,Municipal,municipal_ElectionReturns_2017_Municipal_PrecinctReturns.parquet
2017,33,276001,Primary,primary_ElectionReturns_2017_Primary_PrecinctReturns.parquet
2010,33,121578,General,general_ElectionReturns_2010_General_PrecinctReturns.parquet
2010,33,360481,Primary,primary_ElectionReturns_2010_Primary_PrecinctReturns.parquet
2019,37,145644,Primary,primary_ElectionReturns_2019_Primary_PrecinctReturns.parquet
2019,37,157567,General,general_ElectionReturns_2019_General_PrecinctReturns.parquet
2021,37,311112,Primary,primary_ElectionReturns_2021_Primary_PrecinctReturns.parquet
2021,37,216446,Municipal,municipal_ElectionReturns_2021_Municipal_PrecinctReturns.parquet
2020,37,419020,Primary,primary_ElectionReturns_2020_Primary_PrecinctReturns.parquet
2020,37,179507,General,general_ElectionReturns_2020_General_PrecinctReturns.parquet
2018,37,215443,Primary,primary_ElectionReturns_2018_Primary_PrecinctReturns.parquet
2018,37,114234,General,general_ElectionReturns_2018_General_PrecinctReturns.parquet
2011,33,102866,General,general_ElectionReturns_2011_General_PrecinctReturns.parquet
2011,33,101739,Primary,primary_ElectionReturns_2011_Primary_PrecinctReturns.parquet
2016,33,528159,Primary,primary_ElectionReturns_2016_Primary_PrecinctReturns.parquet
2016,33,204013,General,general_ElectionReturns_2016_General_PrecinctReturns.parquet
1997,33,142320,Municipal,municipal_ElectionReturns_1997_Municipal_PrecinctReturns.parquet
1997,33,294097,Primary,primary_ElectionReturns_1997_Primary_PrecinctReturns.parquet
1999,33,56382,Primary,primary_ElectionReturns_1999_Primary_PrecinctReturns.parquet
1999,33,46980,Municipal,municipal_ElectionReturns_1999_Municipal_PrecinctReturns.parquet
1998,33,290262,Primary,primary_ElectionReturns_1998_Primary_Precinct_Returns.parquet
1998,33,163052,General,general_ElectionReturns_1998_General_PrecinctReturns.parquet
1996,33,283036,General,general_ElectionReturns_1996_General_PrecinctReturns.parquet
1996,33,356801,Primary,primary_ElectionReturns_1996_Primary_PrecinctReturns.parquet
2002,33,115099,General,general_ElectionReturns_2002_General_PrecinctReturns.parquet
2002,33,253812,Primary,primary_ElectionReturns_2002_Primary_PrecinctReturns.parquet
2003,33,94250,Municipal,municipal_ElectionReturns_2003_Municipal_PrecinctReturns.parquet
2003,33,207350,Primary,primary_ElectionReturns_2003_Primary_PrecinctReturns.parquet
2004,33,359385,Primary,primary_ElectionReturns_2004_Primary_PrecinctReturns.parquet
2004,33,325915,General,general_ElectionReturns_2004_General_Precinct.parquet
