Contest Title,Party,District Type,Vote For,Term Number,Notes,Contest_Key
School Director,Democratic,School Director,2,4,, School Director Octorara Region 2
School Director,Democratic,School Director,1,4,, School Director Coatesville Region 2
Auditor,Democratic,Municipal,2,6,, Auditor Schuylkill Township
Auditor,Democratic,Municipal,1,6,, Auditor Birmingham Township
Auditor,Democratic,Municipal,1,6,, Auditor W Brandywine Township
Auditor,Democratic,Municipal,1,6,, Auditor East Caln Township
Auditor,Democratic,Municipal,1,6,, Auditor West Caln Township
Auditor,Democratic,Municipal,1,6,, Auditor Charlestown Township
Auditor,Democratic,Municipal,1,6,, Auditor N Coventry Township
Auditor,Democratic,Municipal,1,6,, Auditor S Coventry Township
Auditor,Democratic,Municipal,1,6,, Auditor E Fallowfield Township
Auditor,Democratic,Municipal,1,6,, Auditor W Fallowfield Township
Auditor,Democratic,Municipal,1,6,, Auditor E Goshen Township
Auditor,Democratic,Municipal,1,6,, Auditor Kennett Township
Auditor,Democratic,Municipal,1,6,, Auditor London Britain Township
Auditor,Democratic,Municipal,1,6,, Auditor Londonderry Township
Auditor,Democratic,Municipal,1,6,, Auditor London Grove Township
Auditor,Democratic,Municipal,1,6,, Auditor E Marlborough Township
Auditor,Democratic,Municipal,1,6,, Auditor W Marlborough Township
Auditor,Democratic,Municipal,1,6,, Auditor E Nottingham Township
Auditor,Democratic,Municipal,1,6,, Auditor Lower Oxford Township
Auditor,Democratic,Municipal,1,6,, Auditor Upper Oxford Township
Auditor,Democratic,Municipal,1,6,, Auditor Penn Township
Auditor,Democratic,Municipal,1,6,, Auditor Pennsbury Township
Auditor,Democratic,Municipal,1,6,, Auditor E Pikeland Township
Auditor,Democratic,Municipal,1,6,, Auditor W Pikeland Township
Auditor,Democratic,Municipal,1,6,, Auditor Pocopson Township
Auditor,Democratic,Municipal,1,6,, Auditor Sadsbury Township
Auditor,Democratic,Municipal,1,6,, Auditor W Sadsbury Township
Auditor,Democratic,Municipal,1,6,, Auditor Spring City Borough
Auditor,Democratic,Municipal,1,6,, Auditor Thornbury Township
Auditor,Democratic,Municipal,1,6,, Auditor Valley Township
Auditor,Democratic,Municipal,1,6,, Auditor E Vincent Township
Auditor,Democratic,Municipal,1,6,, Auditor Wallace Township
Auditor,Democratic,Municipal,1,6,, Auditor E Whiteland Township
Auditor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Auditor Unexpired 4 Year Term Birmingham Township
Auditor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Auditor Unexpired 4 Year Term Charlestown Township
Auditor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Auditor Unexpired 4 Year Term E Fallowfield Township
Auditor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Auditor Unexpired 4 Year Term Sadsbury Township
Auditor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Auditor Unexpired 4 Year Term E Vincent Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term London Britain Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term London Grove Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term E Marlborough Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term Penn Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term Pennsbury Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term Upper Uwchlan Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term Wallace Township
Auditor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Auditor Unexpired 2 Year Term E Whiteland Township
Member of Council,Democratic,Municipal,4,4,, Member of Council Spring City Borough
Member of Council,Democratic,Municipal,3,4,, Member of Council Atglen Borough
Member of Council,Democratic,Ward,1,4,, Member of Council Coatesville 4th Ward
Member of Council Unexpired 2 Year Term,Democratic,Municipal,1,2,, Member of Council Unexpired 2 Year Term W Grove Borough
Mayor,Democratic,Municipal,1,4,, Mayor Atglen Borough
Mayor,Democratic,Municipal,1,4,, Mayor Modena Borough
Township Supervisor Unexpired 4 Year Term,Democratic,Municipal,1,4,, Township Supervisor Unexpired 4 Year Term Thornbury Township
Township Supervisor Unexpired 2 Year Term,Democratic,Municipal,1,2,, Township Supervisor Unexpired 2 Year Term W Sadsbury Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector Atglen Borough
Tax Collector,Democratic,Municipal,1,4,, Tax Collector Birmingham Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector Caln Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector East Caln Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector West Caln Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector Charlestown Township
Tax Collector,Democratic,Municipal,1,4,, Tax Collector S Coatesville Borough
Tax Collector,Democratic,Municipal,1,4,, Tax Collector Elverson Borough
