Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
School Director,DEM School Director Octorara Region 2,Democratic,School Director,2,4,
School Director,REP School Director Octorara Region 2,Republican,School Director,2,4,
School Director,DEM School Director Coatesville Region 2,Democratic,School Director,1,4,
School Director,REP School Director Coatesville Region 2,Republican,School Director,1,4,
Auditor,DEM Auditor Schuylkill Township,Democratic,Municipal,2,6,
Auditor,REP Auditor Schuylkill Township,Republican,Municipal,2,6,
Auditor,DEM Auditor Birmingham Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Birmingham Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Brandywine Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Brandywine Township,Republican,Municipal,1,6,
Auditor,DEM Auditor East Caln Township,Democratic,Municipal,1,6,
Auditor,REP Auditor East Caln Township,Republican,Municipal,1,6,
Auditor,DEM Auditor West Caln Township,Democratic,Municipal,1,6,
Auditor,REP Auditor West Caln Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Charlestown Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Charlestown Township,Republican,Municipal,1,6,
Auditor,DEM Auditor N Coventry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor N Coventry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor S Coventry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor S Coventry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Fallowfield Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Fallowfield Township,Republican,Municipal,1,6,
Auditor,DEM Auditor W Fallowfield Township,Democratic,Municipal,1,6,
Auditor,REP Auditor W Fallowfield Township,Republican,Municipal,1,6,
Auditor,DEM Auditor E Goshen Township,Democratic,Municipal,1,6,
Auditor,REP Auditor E Goshen Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Kennett Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Kennett Township,Republican,Municipal,1,6,
Auditor,DEM Auditor London Britain Township,Democratic,Municipal,1,6,
Auditor,REP Auditor London Britain Township,Republican,Municipal,1,6,
Auditor,DEM Auditor Londonderry Township,Democratic,Municipal,1,6,
Auditor,REP Auditor Londonderry Township,Republican,Municipal,1,6,
Auditor,DEM Auditor London Grove Township,Democratic,Municipal,1,6,
