Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
Judge of the Superior Court,DEM Judge of the Superior Court,Democratic,ElectionWide,1,10,
Judge of the Superior Court,REP Judge of the Superior Court,Republican,ElectionWide,1,10,
Judge of the Commonwealth Court,DEM Judge of the Commonwealth Court,Democratic,ElectionWide,1,10,
Judge of the Commonwealth Court,REP Judge of the Commonwealth Court,Republican,ElectionWide,1,10,
Judge of the Court of Common Pleas,DEM Judge of the Court of Common Pleas,Democratic,ElectionWide,2,10,
Judge of the Court of Common Pleas,REP Judge of the Court of Common Pleas,Republican,ElectionWide,2,10,
Treasurer,DEM Treasurer,Democratic,ElectionWide,1,4,
Treasurer,REP Treasurer,Republican,ElectionWide,1,4,
Controller,DEM Controller,Democratic,ElectionWide,1,4,
Controller,REP Controller,Republican,ElectionWide,1,4,
Clerk of Courts,DEM Clerk of Courts,Democratic,ElectionWide,1,4,
Clerk of Courts,REP Clerk of Courts,Republican,ElectionWide,1,4,
Coroner,DEM Coroner,Democratic,ElectionWide,1,4,
Coroner,REP Coroner,Republican,ElectionWide,1,4,
Magisterial District Judge,DEM Magisterial District Judge District 15-2-01,Democratic,Magisterial District Judge,1,6,
Magisterial District Judge,REP Magisterial District Judge District 15-2-01,Republican,Magisterial District Judge,1,6,
Magisterial District Judge,DEM Magisterial District Judge District 15-2-03,Democratic,Magisterial District Judge,1,6,
Magisterial District Judge,REP Magisterial District Judge District 15-2-03,Republican,Magisterial District Judge,1,6,
Magisterial District Judge,DEM Magisterial District Judge District 15-3-07,Democratic,Magisterial District Judge,1,6,
Magisterial District Judge,REP Magisterial District Judge District 15-3-07,Republican,Magisterial District Judge,1,6,
School Director At Large,DEM School Director At Large Owen J Roberts,Democratic,School Director,4,4,
School Director At Large,REP School Director At Large Owen J Roberts,Republican,School Director,4,4,
School Director At Large,DEM School Director At Large Phoenixville,Democratic,School Director,4,4,
School Director At Large,REP School Director At Large Phoenixville,Republican,School Director,4,4,
School Director At Large,DEM School Director At Large Oxford Area,Democratic,School Director At Large,1,4,
School Director At Large,REP School Director At Large Oxford Area,Republican,School Director At Large,1,4,
School Director,DEM School Director Avon Grove Region 1,Democratic,School Director,2,4,
School Director,REP School Director Avon Grove Region 1,Republican,School Director,2,4,
School Director,DEM School Director Coatesville Region 3,Democratic,School Director,2,4,
School Director,REP School Director Coatesville Region 3,Republican,School Director,2,4,
School Director,DEM School Director Great Valley Region 1,Democratic,School Director,2,4,
School Director,REP School Director Great Valley Region 1,Republican,School Director,2,4,
School Director,DEM School Director Kennett Consolidated Region C,Democratic,School Director,2,4,
School Director,REP School Director Kennett Consolidated Region C,Republican,School Director,2,4,
School Director,DEM School Director Octorara Region 2,Democratic,School Director,2,4,
School Director,REP School Director Octorara Region 2,Republican,School Director,2,4,
School Director,DEM School Director Octorara Region 3,Democratic,School Director,2,4,
School Director,REP School Director Octorara Region 3,Republican,School Director,2,4,
School Director,DEM School Director Spring Ford Region 3,Democratic,School Director,2,4,*Candidates file in Montgomery County.
School Director,REP School Director Spring Ford Region 3,Republican,School Director,2,4,*Candidates file in Montgomery County.
School Director,DEM School Director Tredyffrin Easttown Region 3,Democratic,School Director,2,4,
School Director,REP School Director Tredyffrin Easttown Region 3,Republican,School Director,2,4,
School Director,DEM School Director Twin Valley Region 2,Democratic,School Director,2,4,*Candidates file in Berks County.
School Director,REP School Director Twin Valley Region 2,Republican,School Director,2,4,*Candidates file in Berks County.
School Director,DEM School Director Unionville Chadds Ford Region A,Democratic,School Director,2,4,
School Director,REP School Director Unionville Chadds Ford Region A,Republican,School Director,2,4,
School Director,DEM School Director Unionville Chadds Ford Region B,Democratic,School Director,2,4,
School Director,REP School Director Unionville Chadds Ford Region B,Republican,School Director,2,4,
School Director,DEM School Director West Chester Region 3,Democratic,School Director,2,4,
School Director,REP School Director West Chester Region 3,Republican,School Director,2,4,
School Director,DEM School Director Avon Grove Region 2,Democratic,School Director,1,4,
"CHESTER COUNTY, PENNSYLVANIA
UNOFFICIAL LIST OF OFFICES
MAY 20, 2025 Municipal Primary",,,,,,
Contest Title,Contest Long Name,Party,District Type,Vote For,Term Number,Notes
School Director,REP School Director Avon Grove Region 2,Republican,School Director,1,4,
School Director,DEM School Director Avon Grove Region 3,Democratic,School Director,1,4,
