Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
Brandon Neumann,DEM Judge of the Superior Court,1,10,1
Maria Battista,REP Judge of the Superior Court,1,10,1
Ann Marie Wheatcraft,REP Judge of the Superior Court,1,10,2
Stella Tsai,DEM Judge of the Commonwealth Court,1,10,1
Matt Wolford,REP Judge of the Commonwealth Court,1,10,1
Josh Prince,REP Judge of the Commonwealth Court,1,10,2
Mackenzie W. Smith,DEM Judge of the Court of Common Pleas,2,10,1
"Clay Nathaniel Cauley, Sr.",DEM Judge of the Court of Common Pleas,2,10,2
Neill C. Kling,REP Judge of the Court of Common Pleas,2,10,1
Betty A. Ryberg,REP Judge of the Court of Common Pleas,2,10,2
Mackenzie W. Smith,REP Judge of the Court of Common Pleas,2,10,3
"Clay Nathaniel Cauley, Sr.",REP Judge of the Court of Common Pleas,2,10,4
Caroline Bradley,DEM Clerk of Courts,1,4,1
Alissa McGrory,REP Clerk of Courts,1,4,1
Nick Cherubino,DEM Controller,1,4,1
Joseph Lorusso,REP Controller,1,4,1
Sophia Garcia-Jackson,DEM Coroner,1,4,1
Thomas John Hatzidais,REP Coroner,1,4,1
Patricia A. Maisano,DEM Treasurer,1,4,1
Deana Wang,REP Treasurer,1,4,1
James C. Kovaleski,DEM Magisterial District Judge District 15-2-01,1,6,1
Tony diFrancesca,DEM Magisterial District Judge District 15-2-03,1,6,1
Joe Heffern,DEM Magisterial District Judge District 15-3-07,1,6,1
Courtney Himes,DEM Magisterial District Judge District 15-3-07,1,6,2
Bob Knecht,DEM Magisterial District Judge District 15-3-07,1,6,3
Matthew R. Kline,REP Magisterial District Judge District 15-2-01,1,6,1
James C. Kovaleski,REP Magisterial District Judge District 15-2-01,1,6,2
Tony diFrancesca,REP Magisterial District Judge District 15-2-03,1,6,1
Andy Rongaus,REP Magisterial District Judge District 15-2-03,1,6,2
Bob Knecht,REP Magisterial District Judge District 15-3-07,1,6,1
Courtney Himes,REP Magisterial District Judge District 15-3-07,1,6,2
Roseanne Starkey,REP Magisterial District Judge District 15-3-07,1,6,3
Craig A. Yeckley,REP Magisterial District Judge District 15-3-07,1,6,4
David Harmanos,DEM School Director At Large Owen J Roberts,4,4,1
April Saboe,DEM School Director At Large Owen J Roberts,4,4,2
Sara Evans,DEM School Director At Large Owen J Roberts,4,4,3
Rita Pederson,DEM School Director At Large Owen J Roberts,4,4,4
Brittany Remington,DEM School Director At Large Phoenixville,4,4,1
Victoria R. Walker,DEM School Director At Large Phoenixville,4,4,2
Susan Turner,DEM School Director At Large Phoenixville,4,4,3
Scott Overland,DEM School Director At Large Phoenixville,4,4,4
Rita Pederson,REP School Director At Large Owen J Roberts,4,4,1
Sara Evans,REP School Director At Large Owen J Roberts,4,4,2
April Saboe,REP School Director At Large Owen J Roberts,4,4,3
David Harmanos,REP School Director At Large Owen J Roberts,4,4,4
Susan Turner,REP School Director At Large Phoenixville,4,4,1
Brittany Remington,REP School Director At Large Phoenixville,4,4,2
Scott Overland,REP School Director At Large Phoenixville,4,4,3
Andrew Atkinson,DEM School Director At Large Oxford Area,1,4,1
Yami Fernández,DEM School Director At Large Oxford Area,1,4,2
Andrew Atkinson,REP School Director At Large Oxford Area,1,4,1
Yami Fernández,REP School Director At Large Oxford Area,1,4,2
Ruchira Singh,DEM School Director Avon Grove Region 1,2,4,1
Mike Woodin,DEM School Director Avon Grove Region 1,2,4,2
Natalie Ortega-Moran,DEM School Director Avon Grove Region 1,2,4,3
Robin Seagreaves,DEM School Director Coatesville Region 3,2,4,1
Andrea Rizzo,DEM School Director Great Valley Region 1,2,4,1
Cindy Parthmer,DEM School Director Great Valley Region 1,2,4,2
Stacey Kahan,DEM School Director Great Valley Region 1,2,4,3
Juan C. Gonzalez-Zarate,DEM School Director Kennett Consolidated Region C,2,4,1
Vicki Gehrt,DEM School Director Kennett Consolidated Region C,2,4,2
Abby Deardorff,DEM School Director Spring Ford Region 3,2,4,1
Erica Hermans,DEM School Director Spring Ford Region 3,2,4,2
Julie K. Mesaros,DEM School Director Tredyffrin Easttown Region 3,2,4,1
Maryann Piccioni,DEM School Director Tredyffrin Easttown Region 3,2,4,2
Joseph P. Everett,DEM School Director Unionville Chadds Ford Region A,2,4,1
Susan Still Elks,DEM School Director Unionville Chadds Ford Region A,2,4,2
"UNOFFICIAL LIST OF CANDIDATES
May 20, 2025 Municipal Primary
Chester County, Pennsylvania
Updated 3/19/2025",,,,
Full Name,Contest Long Name,Vote For,Term Number,Candidate Order
"Jim Ash, Jr.",DEM School Director Unionville Chadds Ford Region B,2,4,1
Sandra Litvin,DEM School Director Unionville Chadds Ford Region B,2,4,2
Steven G. Simonson,DEM School Director Unionville Chadds Ford Region B,2,4,3
Ashley Padula,DEM School Director West Chester Region 3,2,4,1
Beth Campbell,DEM School Director West Chester Region 3,2,4,2
Laura Detre,DEM School Director West Chester Region 3,2,4,3
Natalie Ortega-Moran,REP School Director Avon Grove Region 1,2,4,1
Mike Woodin,REP School Director Avon Grove Region 1,2,4,2
Ruchira Singh,REP School Director Avon Grove Region 1,2,4,3
Robin Seagreaves,REP School Director Coatesville Region 3,2,4,1
Liz Sabo,REP School Director Great Valley Region 1,2,4,1
Andrea Rizzo,REP School Director Great Valley Region 1,2,4,2
Stacey Kahan,REP School Director Great Valley Region 1,2,4,3
Cindy Parthmer,REP School Director Great Valley Region 1,2,4,4
Brendan Keane,REP School Director Kennett Consolidated Region C,2,4,1
Allison DeMajistre,REP School Director Kennett Consolidated Region C,2,4,2
Vicki Gehrt,REP School Director Kennett Consolidated Region C,2,4,3
Donna Dougherty,REP School Director Octorara Region 3,2,4,1
Abby Deardorff,REP School Director Spring Ford Region 3,2,4,1
April Smokowicz,REP School Director Spring Ford Region 3,2,4,2
Erica Hermans,REP School Director Spring Ford Region 3,2,4,3
Christina Laczko,REP School Director Tredyffrin Easttown Region 3,2,4,1
Maryann Piccioni,REP School Director Tredyffrin Easttown Region 3,2,4,2
Julie K. Mesaros,REP School Director Tredyffrin Easttown Region 3,2,4,3
Tracy M. Phillips,REP School Director Twin Valley Region 2,2,4,1
Jay Oliver,REP School Director Twin Valley Region 2,2,4,2
Kyle Moyer,REP School Director Twin Valley Region 2,2,4,3
Joseph P. Everett,REP School Director Unionville Chadds Ford Region A,2,4,1
Susan Still Elks,REP School Director Unionville Chadds Ford Region A,2,4,2
